target	errors	warnings	hints	status	json
/home/wolfy-j/wippy/wippy-golua-seam/tests/app	2	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/01-home_wolfy-j_wippy_wippy-golua-seam_tests_app.json
/home/wolfy-j/wippy/session	2	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/02-home_wolfy-j_wippy_session.json
/home/wolfy-j/wippy/framework/src/test	6	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/03-home_wolfy-j_wippy_framework_src_test.json
/home/wolfy-j/wippy/framework/src/actor/test	0	0	0	OK	/tmp/wippy-golua-lint-harness/phase0-baseline/04-home_wolfy-j_wippy_framework_src_actor_test.json
/home/wolfy-j/wippy/framework/src/agent/src	6	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/05-home_wolfy-j_wippy_framework_src_agent_src.json
/home/wolfy-j/wippy/framework/src/bootloader	1	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/06-home_wolfy-j_wippy_framework_src_bootloader.json
/home/wolfy-j/wippy/docker-demo	0	0	0	OK	/tmp/wippy-golua-lint-harness/phase0-baseline/07-home_wolfy-j_wippy_docker-demo.json
/home/wolfy-j/wippy/framework/src/llm/src	5	1	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/08-home_wolfy-j_wippy_framework_src_llm_src.json
/home/wolfy-j/wippy/framework/src/llm/test	0	0	0	OK	/tmp/wippy-golua-lint-harness/phase0-baseline/09-home_wolfy-j_wippy_framework_src_llm_test.json
/home/wolfy-j/wippy/framework/src/migration	5	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/10-home_wolfy-j_wippy_framework_src_migration.json
/home/wolfy-j/wippy/framework/src/views	12	0	0	ERRORS	/tmp/wippy-golua-lint-harness/phase0-baseline/11-home_wolfy-j_wippy_framework_src_views.json
/home/wolfy-j/wippy/framework/src/relay/test	0	0	0	OK	/tmp/wippy-golua-lint-harness/phase0-baseline/12-home_wolfy-j_wippy_framework_src_relay_test.json
