wippy-golua-seam/tests/app	argument type mismatch	13
wippy-golua-seam/tests/app	channel select is not exhaustive; missing case: `timeout`	1
session	return type mismatch	5
session	argument type mismatch	3
session	cannot prove argument 1 (memory_text) satisfies parameter type string	1
session	assignment type mismatch	1
framework/src/test	argument type mismatch	5
framework/src/test	argument 2.name (display_name) comes from any/unknown; no proof shows it is string	1
framework/src/agent/src	argument type mismatch	7
framework/src/agent/src	assignment type mismatch	5
framework/src/agent/src	cannot prove argument 1 (compiled.prompt) satisfies parameter type string	2
framework/src/agent/src	cannot prove argument 1 (complete_system_prompt) satisfies parameter type string	1
framework/src/bootloader	argument type mismatch	3
framework/src/llm/src	assignment type mismatch	8
framework/src/llm/src	argument type mismatch	4
framework/src/llm/src	return type mismatch	2
framework/src/llm/src	unknown value	1
framework/src/llm/src	concat optional operand	1
framework/src/migration	optional argument without proof	4
framework/src/migration	return type mismatch	2
framework/src/views	argument type mismatch	7
framework/src/views	assignment untrusted-any mismatch	1
framework/src/views	assignment type mismatch	1
