path,query_id,response,completion_tokens,latency_ms,error
analysis/check/body/expression_operation.go,q0,NONE,2,492,
analysis/check/body/function_value_types.go,q0,NONE,2,537,
analysis/check/body/object_literal_sourcevalue.go,q0,NONE,2,537,
analysis/check/body/module_type_alias.go,q0,NONE,2,873,
analysis/check/body/read_boundary_state.go,q0,NONE,2,874,
analysis/check/body/entry_contextual_function.go,q0,NONE,2,893,
analysis/check/body/result_accessors.go,q0,NONE,2,893,
analysis/check/body/api.go,q0,NONE,2,893,
analysis/check/body/entry_state.go,q0,NONE,2,1134,
analysis/check/body/call_identity.go,q0,NONE,2,1135,
analysis/check/body/result_parameter_readmodel.go,q0,NONE,2,1135,
analysis/check/body/generic_for_transfer.go,q0,NONE,2,1135,
analysis/check/body/import_outcomes.go,q0,NONE,2,1136,
analysis/check/body/read_boundary.go,q0,NONE,2,1136,
analysis/check/body/internal/readexpr/readexpr.go,q0,NONE,2,1137,
analysis/check/body/return_type_values.go,q0,NONE,2,654,
analysis/check/body/result_return_readmodel.go,q0,NONE,2,744,
analysis/check/diagnostics/assignment_diagnostic.go,q0,NONE,2,501,
analysis/check/diagnostics/assignment_call_owner.go,q0,NONE,2,501,
analysis/check/body/visibility.go,q0,NONE,2,781,
analysis/check/body/run.go,q0,NONE,2,1117,
analysis/check/body/signature_return_type_ops.go,q0,NONE,2,782,
analysis/check/checktest/checktest.go,q0,NONE,2,832,
analysis/check/checktest/internal/precheck/precheck.go,q0,NONE,2,833,
analysis/check/diagnostics/channel_select_exhaustiveness.go,q0,NONE,2,892,
analysis/check/diagnostics/condition_reachability.go,q0,NONE,2,892,
analysis/check/diagnostics/assignment.go,q0,NONE,2,1311,
analysis/check/diagnostics/direct_call.go,q0,NONE,2,1011,
analysis/check/diagnostics/call_param_obligation.go,q0,NONE,2,1249,
analysis/check/diagnostics/dead_assignment.go,q0,NONE,2,1248,
analysis/check/diagnostics/assignment_projection.go,q0,NONE,2,1293,
analysis/check/diagnostics/diagnostics.go,q0,NONE,2,1236,
analysis/check/diagnostics/numeric_for.go,q0,NONE,2,1176,
analysis/check/diagnostics/object_literal_mismatch.go,q0,NONE,2,876,
analysis/check/diagnostics/resolver.go,q0,NONE,2,876,
analysis/check/diagnostics/evidence.go,q0,NONE,2,1538,
analysis/check/diagnostics/expression_type.go,q0,NONE,2,1538,
analysis/check/diagnostics/member_read.go,q0,NONE,2,1482,
analysis/check/diagnostics/value_reference.go,q0,NONE,2,779,
analysis/check/diagnostics/trust.go,q0,NONE,2,824,
analysis/check/diagnostics/type_reference.go,q0,NONE,2,823,
analysis/check/diagnostics/unused_local.go,q0,NONE,2,780,
analysis/check/exportmanifest/effect_boundary.go,q0,NONE,2,373,
analysis/check/diagnostics/member_call.go,q0,NONE,2,2024,
analysis/check/diagnostics/internal/readmodel/readmodel.go,q0,NONE,2,2025,
analysis/check/body/config.go,q0,CLONE/DEDUPE HELPER: Config,11,3681,
analysis/check/exportmanifest/source_type.go,q0,NONE,2,679,
analysis/check/exportmanifest/export.go,q0,NONE,2,985,
analysis/check/fixpoint/program/internal/projectsummary/project_heap_table_objects.go,q0,NONE,2,680,
analysis/check/exportmanifest/type_defs.go,q0,NONE,2,681,
analysis/check/fixpoint/program/internal/projectsummary/project.go,q0,NONE,2,681,
analysis/check/diagnostics/guard_env.go,q0,NONE,2,2450,
analysis/check/diagnostics/runtime_guard.go,q0,NONE,2,1908,
analysis/check/diagnostics/return_contract.go,q0,NONE,2,1952,
analysis/check/exportmanifest/function_signatures.go,q0,NONE,2,1407,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_reachability.go,q0,NONE,2,1191,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_conditions.go,q0,NONE,2,844,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_equalities.go,q0,NONE,2,844,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_facts.go,q0,NONE,2,844,
analysis/check/fixpoint/program/internal/callresult/provider.go,q0,NONE,2,2034,
analysis/check/exportmanifest/product_type.go,q0,NONE,2,2068,
analysis/check/fixpoint/program/method_receiver_context.go,q0,NONE,2,1356,
analysis/check/fixpoint/program/internal/projectsummary/project_return_condition_refinements.go,q0,NONE,2,1682,
analysis/check/fixpoint/program/internal/projectsummary/project_normal_return_params.go,q0,NONE,2,1683,
analysis/check/fixpoint/program/internal/projectsummary/project_return_param_aliases.go,q0,NONE,2,1682,
analysis/check/exportmanifest/object_type.go,q0,NONE,2,2398,
analysis/check/fixpoint/program/internal/projectsummary/project_param_obligations.go,q0,NONE,2,1727,
analysis/check/fixpoint/program/internal/projectsummary/project_return_presence_relations.go,q0,NONE,2,1726,
analysis/check/fixpoint/summary/escape_event_facts.go,q0,LATTICE_LANE callboundary.EscapeEventFact,13,497,
analysis/check/fixpoint/summary/effect_delta_facts.go,q0,TYPED_MAP_LATTICE callboundary.EffectDelta,14,541,
analysis/check/fixpoint/program/param_inference.go,q0,NONE,2,2038,
analysis/check/fixpoint/summary/param_obligation.go,q0,NONE,2,621,
analysis/check/fixpoint/summary/frozen_table_facts.go,q0,TYPE-SPECIALIZED LATTICE: callboundary.FrozenTableFact,15,723,
analysis/check/fixpoint/summary/param_condition.go,q0,LATTICE: ParamCondition,7,666,
analysis/check/fixpoint/summary/param_equality.go,q0,LATTICE: ParamEquality,7,708,
analysis/check/fixpoint/program/program.go,q0,NONE,2,2064,
analysis/check/fixpoint/query/query.go,q0,NONE,2,1948,
analysis/check/fixpoint/summary/snapshot.go,q0,NONE,2,178,
analysis/check/fixpoint/ref/ref.go,q0,NONE,2,1893,
analysis/check/fixpoint/summary/normal_return_facts.go,q0,LATTICE_OPERATIONS callboundary.NormalReturnFacts,13,888,
analysis/check/fixpoint/summary/return_presence_relation.go,q0,TYPE-SPECIALIZED LATTICE: ReturnPresenceRelation,12,262,
analysis/check/fixpoint/summary/heap_table_objects.go,q0,PER-TYPE LATTICE: map[identity.ID]heapidentity.TableObject,19,929,
analysis/check/fixpoint/summary/return_condition.go,q0,FACTMAP_LATTICE ReturnConditionParamRefinement,12,263,
analysis/check/fixpoint/summary/store_relation_facts.go,q0,TYPED SET/MAP WRAPPER: callboundary.StoreRelationFact,16,271,
analysis/check/fixpoint/summary/path_facts.go,q0,"TYPED MAP LATTICE: callboundary.PathValueFact
TYPED MAP LATTICE: callboundary.PathStaticMemberFact",29,855,
analysis/check/fixpoint/summary/param_obligation_lattice.go,q0,"PER-TYPE LATTICE: ParamMemberCallObligation
PER-TYPE LATTICE: ParamMemberReturnSlot
PER-TYPE LATTICE: ReturnParamPathAlias",37,1023,
analysis/check/internal/sourcebridge/source_value.go,q0,NONE,2,354,
analysis/check/fixpoint/summary/summary.go,q0,NONE,2,512,
analysis/check/fixpoint/summary/summary_slots.go,q0,NONE,2,479,
analysis/check/fixpoint/summary/summary_key.go,q0,NONE,2,479,
analysis/diagnostic/assertion.go,q0,NONE,2,395,
analysis/check/fixpoint/program/internal/projectsummary/project_return_slots.go,q0,PATTERN NAME: join_logic; concrete type: product.Value,14,2838,
analysis/check/fixpoint/summary/proof_facts.go,q0,LATTICE: callboundary.BranchProof,10,789,
analysis/check/fixpoint/summary/summary_lattice.go,q0,LATTICE PATTERN: Summary,8,568,
analysis/check/fixpoint/summary/dynamic_index_facts.go,q0,POINTWISE MAP LATTICE: callboundary.DynamicIndexFact,14,2461,
analysis/check/fixpoint/summary/channel_select_facts.go,q0,TYPE-SPECIALIZED LATTICE: callboundary.ChannelSelectFact,15,2529,
analysis/domain/constraint/expr/expr_minmax.go,q0,NONE,2,151,
analysis/domain/constraint/decision/result.go,q0,NONE,2,455,
analysis/diagnostic/evidence.go,q0,NONE,2,709,
analysis/check/placementplan/plan.go,q0,NONE,2,755,
analysis/domain/constraint/equality/egraph.go,q0,NONE,2,441,
analysis/domain/constraint/numeric/diff/difference.go,q0,NONE,2,396,
analysis/domain/constraint/expr/expr_ref.go,q0,NONE,2,396,
analysis/diagnostic/policy.go,q0,NONE,2,892,
analysis/domain/constraint/expr/expr_compare.go,q0,NONE,2,560,
analysis/diagnostic/types.go,q0,NONE,2,861,
analysis/domain/constraint/expr/expr_arith.go,q0,NONE,2,561,
analysis/domain/effect/control/reserved.go,q0,NONE,2,259,
analysis/domain/effect/iteration/labels.go,q0,NONE,2,119,
analysis/domain/constraint/expr/expr_equal.go,q0,PER-TYPE VISITOR: Expr,8,675,
analysis/domain/constraint/expr/expr.go,q0,PER_TYPE_VISITOR Expr,8,683,
analysis/domain/effect/compose.go,q0,LATTICE: Row,6,316,
analysis/check/fixpoint/summary/path_invalidation_facts.go,q0,PATTERN NAME: pathInvalidationLane; TYPE: callboundary.PathInvalidationFact,18,2033,
analysis/domain/constraint/numeric/modular/modular.go,q0,NONE,2,763,
analysis/domain/effect/capability/capability.go,q0,NONE,2,721,
analysis/domain/effect/label.go,q0,NONE,2,402,
analysis/domain/effect/dispatch/reserved.go,q0,NONE,2,489,
analysis/domain/effect/dispatch/labels.go,q0,NONE,2,490,
analysis/domain/effect/mutation/active.go,q0,NONE,2,414,
analysis/domain/effect/mutation/labels.go,q0,NONE,2,414,
